UNIQUEID,YEAR,PERIOD,AUT1,AFFIL_AUT1,DPT_AUT1,AUT2,AFFIL_AUT2,DPT_AUT2,AUT3,AFFIL_AUT3,DPT_AUT3,AUT4,AFFIL_AUT4,DPT_AUT4,AUT5,AFFIL_AUT5,DPT_AUT5
647,1976,1976-1980,"adler, m",Columbia,Business,"   dumas, b",Columbia,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA
754,1977,1976-1980,"adler, m",Columbia,Business,"   dumas, b",Columbia,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA
525,2008,2004-2008,"agrawal, ajay",U Toronto,Business,"   goldfarb, avi",U Toronto,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,1959,1956-1960,"alexander, ss",MIT,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,1960,1956-1960,"alhadeff, da",Berkeley,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
567,2008,2004-2008,"alonso, ricardo",USC,Business,"   dessein, wouter",U Chicago,Business,"   matouschek, niko",Northwestern,Business,NA,NA,NA,NA,NA,NA
1036,1979,1976-1980,"askari, h","U Texas, Austin",Business,"   cummings, jt","U Texas, Austin",Business,"   richter, g","U Texas, Austin",Business,NA,NA,NA,NA,NA,NA
142,2004,2004-2008,"azoulay, p",Columbia,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
336,2006,2004-2008,"barberis, nicholas",Yale,Business,"   huang, ming",Cornell,Business,"   thaler, richard h.",U Chicago,Business,NA,NA,NA,NA,NA,NA
502,2008,2004-2008,"barberis, nicholas",Yale,Business,"   huang, ming",Cornell,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA
1093,1979,1976-1980,"baron, dp",Northwestern,Business,"   forsythe, r",Caltech,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA
628,1976,1976-1980,"baron, dp",Northwestern,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1102,1979,1976-1980,"bartel, ap",Columbia,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
158,2004,2004-2008,"bertrand, m",U Chicago,Business,"   mullainathan, s",Mit,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
585,1976,1976-1980,"birch, em",U Iowa,Business,"   siebert, cd",U Iowa,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1956,1956-1960,"bodenhorn, d",Dartmouth,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
325,2006,2004-2008,"bolton, gary e.",Pennsylvania State U,Business,"   ockenfels, axel",U of Cologne ,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
923,1978,1976-1980,"bower, jl",Harvard,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
642,1976,1976-1980,"bradford, wd",Stanford,Business,"   osborne, ae",UCLA,Business,NA,NA,NA,NA,NA,NA,NA,NA,NA
501,2008,2004-2008,"broda, christian",Chicago,Business,"   limao, nuno",U Maryland,Economics,"   weinstein, david e.",Columbia,Economics,NA,NA,NA,NA,NA,NA
558,2008,2004-2008,"brown, jeffrey r.",U of Illinois at Urbana-Champaign,Business,"   finkelstein, amy",Mit,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
360,2006,2004-2008,"bulow, j",Stanford,Business,"   levin, j",Stanford ,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
179,2004,2004-2008,"burkart, m",Stockholm School of Economics,Business,"   ellingsen, t",Stockholm School of Economics,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
343,2006,2004-2008,"busse, meghan",UC Berkeley,Business,"   silva-risso, jorge",UC Riverside,Business,"   zettelmeyer, florian",UC Berkeley,Business,NA,NA,NA,NA,NA,NA
478,2007,2004-2008,"butler, david j.",U of Western Australia ,Business,"   loomes, graham c.",U of East Anglia ,Economics,NA,NA,NA,NA,NA,NA,NA,NA,NA
