UniqueID;JOURNAL;YEAR;AUT1;AFFIL_AUT1;PHD_AUT1;AUT2;AFFIL_AUT2;PHD_AUT2;AUT3;AFFIL_AUT3;PHD_AUT3;AUT4;AFFIL_AUT4;PHD_AUT4;AUT5;AFFIL_AUT5;PHD_AUT5;AUT6;AFFIL_AUT6;PHD_AUT6;AUT7;AFFIL_AUT7;PHD_AUT7;AUT8;AFFIL_AUT8;PHD_AUT8
1;AMERICAN JOURNAL OF SOCIOLOGY;2003;bittman, m;University of New South Wales;RMIT University;england, p;Northwestern University;University of Chicago;folbre, n;University of Massachusetts, Amherst;University of Massachusetts, Amherst;sayer, l;Ohio State University;University of Michigan;matheson, g;University of Wollongong;University of New England;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;AMERICAN JOURNAL OF SOCIOLOGY;2003;baumer, ep;University of Missouri, Saint-Louis;University of Albany;messner, sf;University at Albany, SUNY;Princeton University;rosenfeld, r;University of Missouri, Saint-Louis;University of Oregon;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;AMERICAN JOURNAL OF SOCIOLOGY;2003;jenkins, jc;Ohio State University;SUNY Stony Brook;jacobs, d;Ohio State University;Vanderbilt University;agnone, j;University of Washington;University of Washington;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;AMERICAN JOURNAL OF SOCIOLOGY;2003;rao, h;Northwestern University;Case Western Reserve University;monin, p;EM Lyon;Universite Lyon III;durand, r;EM Lyon;HEC Paris;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;AMERICAN JOURNAL OF SOCIOLOGY;2003;ewick, p;Clark University;Yale University;silbey, s;Massachusetts Institute of Technology;University of Chicago;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;AMERICAN JOURNAL OF SOCIOLOGY;2003;pfaff, s;University of Washington;New York University;kim, h;University of Washington;University of North Carolina, Chapel Hill;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;AMERICAN JOURNAL OF SOCIOLOGY;2003;eliasoph, n;University of Wisconsin-Madison;University of California, Berkeley;lichterman, p;University of Wisconsin-Madison;University of California, Berkeley;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
8;AMERICAN JOURNAL OF SOCIOLOGY;2003;mackenzie, d;University of Edinburgh;University of Edinburgh;millo, y;London School of Economics;University of Edinburgh;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9;AMERICAN JOURNAL OF SOCIOLOGY;2003;uggen, c;University of Minnesota;University of Wisconsin-Madison;thompson, m;Portland State University;University of Minnesota;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10;AMERICAN JOURNAL OF SOCIOLOGY;2003;mahoney, j;Brown University;University of California, Berkeley;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;AMERICAN JOURNAL OF SOCIOLOGY;2003;harding, dj;Harvard University;Harvard University;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
