AUTHORS,JOURNAL,NUMB_REF,YEAR,ECONOMICS,FINANCE,BUSINESS,STATISTICS,DK,POLSCIENCE,COMMUNICATION,MEDIA,LAW,GENERAL.SCIENTIFIC,PSYCHOLOGY,MATHEMATICS,SOCIOLOGY,STATISTICAL.DATA,DEMOGRAPHY,HEALTH,MULTIDISC,NATURAL.SCIENCES,URBAN.STUDIES,PHILOSOPHY,OTHER,COMPUTER,AGRICULTURE,EDUCATION,HISTORY,ANTHROPOLOGY,PUBLIC.POL,NR
1,JOURNAL OF POLITICAL ECONOMY,21,1900,1,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,16,0,0,0,0,0,0,479
2,JOURNAL OF POLITICAL ECONOMY,19,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18,0,0,0,0,0,0,481
3,JOURNAL OF POLITICAL ECONOMY,29,1900,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,471
4,JOURNAL OF POLITICAL ECONOMY,10,1900,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,490
5,JOURNAL OF POLITICAL ECONOMY,44,1900,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,456
6,JOURNAL OF POLITICAL ECONOMY,6,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,494
7,JOURNAL OF POLITICAL ECONOMY,24,1900,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,476
8,JOURNAL OF POLITICAL ECONOMY,34,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,466
9,JOURNAL OF POLITICAL ECONOMY,19,1900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,481
10,JOURNAL OF POLITICAL ECONOMY,1,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,499
11,JOURNAL OF POLITICAL ECONOMY,15,1900,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,486
12,JOURNAL OF POLITICAL ECONOMY,1,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,499
13,JOURNAL OF POLITICAL ECONOMY,9,1900,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,491
14,JOURNAL OF POLITICAL ECONOMY,0,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
15,JOURNAL OF POLITICAL ECONOMY,1,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,499
16,JOURNAL OF POLITICAL ECONOMY,12,1900,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,488
17,JOURNAL OF POLITICAL ECONOMY,3,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,497
18,JOURNAL OF POLITICAL ECONOMY,0,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
19,QUARTERLY JOURNAL OF ECONOMICS,0,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
20,QUARTERLY JOURNAL OF ECONOMICS,10,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,490
21,QUARTERLY JOURNAL OF ECONOMICS,74,1900,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,71,0,0,0,0,0,0,426
22,QUARTERLY JOURNAL OF ECONOMICS,18,1900,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,482
23,QUARTERLY JOURNAL OF ECONOMICS,16,1900,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,485
24,QUARTERLY JOURNAL OF ECONOMICS,21,1900,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,480
25,QUARTERLY JOURNAL OF ECONOMICS,0,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
26,QUARTERLY JOURNAL OF ECONOMICS,0,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
27,QUARTERLY JOURNAL OF ECONOMICS,68,1900,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,432
28,QUARTERLY JOURNAL OF ECONOMICS,54,1900,0,0,0,0,1,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,47,0,0,0,0,0,0,446
29,QUARTERLY JOURNAL OF ECONOMICS,2,1900,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498
30,QUARTERLY JOURNAL OF ECONOMICS,4,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,496
31,QUARTERLY JOURNAL OF ECONOMICS,9,1900,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,491
32,QUARTERLY JOURNAL OF ECONOMICS,18,1900,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,0,0,0,0,0,0,482
33,QUARTERLY JOURNAL OF ECONOMICS,2,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,498
34,QUARTERLY JOURNAL OF ECONOMICS,1,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,499
35,JOURNAL OF POLITICAL ECONOMY,26,1901,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,474
36,JOURNAL OF POLITICAL ECONOMY,3,1901,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,497
37,JOURNAL OF POLITICAL ECONOMY,4,1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,496
38,JOURNAL OF POLITICAL ECONOMY,7,1901,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,493
39,JOURNAL OF POLITICAL ECONOMY,2,1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,498
40,JOURNAL OF POLITICAL ECONOMY,86,1901,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,1,0,0,0,0,414
41,JOURNAL OF POLITICAL ECONOMY,2,1901,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,498
42,JOURNAL OF POLITICAL ECONOMY,0,1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
43,JOURNAL OF POLITICAL ECONOMY,2,1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,498
44,JOURNAL OF POLITICAL ECONOMY,0,1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
45,JOURNAL OF POLITICAL ECONOMY,3,1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,497
46,JOURNAL OF POLITICAL ECONOMY,37,1901,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,463
47,JOURNAL OF POLITICAL ECONOMY,0,1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
48,JOURNAL OF POLITICAL ECONOMY,10,1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,490
49,JOURNAL OF POLITICAL ECONOMY,5,1901,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,495
50,JOURNAL OF POLITICAL ECONOMY,6,1901,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,494
51,JOURNAL OF POLITICAL ECONOMY,0,1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
52,JOURNAL OF POLITICAL ECONOMY,42,1901,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,459
53,QUARTERLY JOURNAL OF ECONOMICS,11,1901,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,489
54,QUARTERLY JOURNAL OF ECONOMICS,12,1901,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,488
55,QUARTERLY JOURNAL OF ECONOMICS,1,1901,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499
56,QUARTERLY JOURNAL OF ECONOMICS,31,1901,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,469
57,QUARTERLY JOURNAL OF ECONOMICS,3,1901,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,497
58,QUARTERLY JOURNAL OF ECONOMICS,13,1901,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,488
59,QUARTERLY JOURNAL OF ECONOMICS,1,1901,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499
60,QUARTERLY JOURNAL OF ECONOMICS,0,1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
61,QUARTERLY JOURNAL OF ECONOMICS,5,1901,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,495
62,QUARTERLY JOURNAL OF ECONOMICS,7,1901,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,493
63,QUARTERLY JOURNAL OF ECONOMICS,3,1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,497
64,QUARTERLY JOURNAL OF ECONOMICS,8,1901,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,492
65,QUARTERLY JOURNAL OF ECONOMICS,19,1901,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,481
66,QUARTERLY JOURNAL OF ECONOMICS,31,1901,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,469
67,QUARTERLY JOURNAL OF ECONOMICS,33,1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,467
68,QUARTERLY JOURNAL OF ECONOMICS,4,1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,496
69,JOURNAL OF POLITICAL ECONOMY,2,1902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,498
70,JOURNAL OF POLITICAL ECONOMY,3,1902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,497
71,JOURNAL OF POLITICAL ECONOMY,0,1902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
72,JOURNAL OF POLITICAL ECONOMY,0,1902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
73,JOURNAL OF POLITICAL ECONOMY,7,1902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,493
74,JOURNAL OF POLITICAL ECONOMY,0,1902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
75,JOURNAL OF POLITICAL ECONOMY,0,1902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
76,JOURNAL OF POLITICAL ECONOMY,78,1902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,6,0,0,0,0,422
77,JOURNAL OF POLITICAL ECONOMY,5,1902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,495
78,JOURNAL OF POLITICAL ECONOMY,1,1902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,499
79,JOURNAL OF POLITICAL ECONOMY,11,1902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,489
80,JOURNAL OF POLITICAL ECONOMY,27,1902,0,0,0,0,6,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,473
81,JOURNAL OF POLITICAL ECONOMY,32,1902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,468
82,JOURNAL OF POLITICAL ECONOMY,0,1902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
83,JOURNAL OF POLITICAL ECONOMY,33,1902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,467
84,QUARTERLY JOURNAL OF ECONOMICS,12,1902,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,488
85,QUARTERLY JOURNAL OF ECONOMICS,21,1902,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,479
86,QUARTERLY JOURNAL OF ECONOMICS,93,1902,1,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,407
87,QUARTERLY JOURNAL OF ECONOMICS,21,1902,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,479
88,QUARTERLY JOURNAL OF ECONOMICS,28,1902,1,0,0,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,22,0,0,0,0,0,0,472
89,QUARTERLY JOURNAL OF ECONOMICS,40,1902,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,460
90,QUARTERLY JOURNAL OF ECONOMICS,4,1902,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,496
91,QUARTERLY JOURNAL OF ECONOMICS,29,1902,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,25,0,0,0,0,0,0,471
92,QUARTERLY JOURNAL OF ECONOMICS,11,1902,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,489
93,QUARTERLY JOURNAL OF ECONOMICS,6,1902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,494
94,QUARTERLY JOURNAL OF ECONOMICS,41,1902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,459
95,QUARTERLY JOURNAL OF ECONOMICS,80,1902,0,0,0,0,2,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,428
96,QUARTERLY JOURNAL OF ECONOMICS,6,1902,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,494
97,QUARTERLY JOURNAL OF ECONOMICS,4,1902,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,496
98,QUARTERLY JOURNAL OF ECONOMICS,35,1902,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,10,465
99,QUARTERLY JOURNAL OF ECONOMICS,12,1902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,488
100,QUARTERLY JOURNAL OF ECONOMICS,1,1902,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499
101,QUARTERLY JOURNAL OF ECONOMICS,0,1902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
102,QUARTERLY JOURNAL OF ECONOMICS,0,1902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
103,QUARTERLY JOURNAL OF ECONOMICS,0,1902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
104,JOURNAL OF POLITICAL ECONOMY,0,1903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
105,JOURNAL OF POLITICAL ECONOMY,0,1903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500
106,JOURNAL OF POLITICAL ECONOMY,2,1903,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,498
107,JOURNAL OF POLITICAL ECONOMY,15,1903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,485
108,JOURNAL OF POLITICAL ECONOMY,6,1903,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,494
109,JOURNAL OF POLITICAL ECONOMY,7,1903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,493
110,JOURNAL OF POLITICAL ECONOMY,1,1903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,499
