NAME,regex,IDENT
AM POL SCI REV,am.* pol.* re.*,POLISCI
AM J POL,am.* j pol.*,POLISCI
PUB OP QUART,pub.* op.* qu.*,POLISCI
POLITICAL ANALYSIS,^polit.* ana.*,POLISCI
J CONFLICT RES,j.* confl.*,POLISCI
J OF POLITICS,j politics,POLISCI
LEGIS STUD QUART,leg.* stud.* quart.*,POLISCI
ANN REV POL SCI,ann.* rev.* pol.* sci.*,POLISCI
INT STUD QUART,int.* stu.* qua.*,POLISCI
B J POL SCI,bri.* j.* pol.* sc.*,POLISCI
J OF PEACE RESE,j pea.* res.*,POLISCI
POL BEHAVIO,pol.* beh.*,POLISCI
COMP POL STUD,com.* pol.* stu.*,POLISCI
POL PSY,pol.* psy.*,POLISCI
EUR J POL RES,eu.* j.* pol.* res.*,POLISCI
JOURNAL OF DEMOCRACY,j democ,POLISCI
COMPARATIVE POLITICS,comp polit,POLISCI
JOURNAL THEORETICAL POLITICS,j the.* pol.*,POLISCI
Q J POL SCI,q.* j.* pol.* sc.*,POLISCI
POL RES QUART,pol.* res.* qua.*,POLISCI
ELEC STUDIES,^elec.* stud.*,POLISCI
POLITICAL SCIENCE QUART,pol.* sci.* qua.*,POLISCI
POLITICS & SOCIETY,polit soc,POLISCI
EUR UNION POLITICS,eur.* un.* pol.*,POLISCI
POL SCIENCE QUART,pol.* sc.* quar.*,POLISCI
AM J SOC,am.* j soc.*,SOC
AM SOC REV,am.* soc.* re.*,SOC
SOC FORCES,soc.* forc.*,SOC
ANN REV SOC,ann.* rev.* soc.*,SOC
SOC METH + SOC M RES,soc.* meth.*,SOC
SOC EDUC,^soc.* educ.*,SOC
POP DEV RES,pop.* dev.*,SOC
SOC NETW,soc netw.*,SOC
J MARRIAGE,j.* marr,SOC
SOC PROB,^soc.* prob.*,SOC
LAW SOC REV,law.* soc.* rev.*,SOC
SOC THEORY,sociol.* theo.*,SOC
GENDER SOC,gend.* soc.*,SOC
JSSR,j.* stu.* rel.*,SOC
RATION SOC,^ration soc.*,SOC
SOC SCI RES,soc.* sci.* res.*$,SOC
J MAT SOC,j math.* soc.*,SOC
WORK OCC,work occ.*,SOC
SOCIO QUART,socio.* quart.*,SOC
RURAL SOC,^rur.* soc.*,SOC
BJS,bri.* j soc.*$,SOC
SOC FORUM,soc.* forum,SOC
EUR SOCOLOGICAL REVIEW,eur.* soc.* rev.*,SOC
ECONOMY AND SOCIETY,econ.* an.* soc.*,SOC
SOCIOLOGY OF HEALTH AND ILLNESS,soc.* hea.* ,SOC
JOURNAL OF POLITICAL ECONOMY,j.* pol.* ec.*,ECON
QUARTERLY JOURNAL OF ECONOMICS,q.* j.* ec.*,ECON
ECONOMETRICA,econometrica,ECON
BROOKINGS PAPERS ON ECONOMIC ACTIVITY,brookin.* ec,ECON
REVIEW OF ECONOMIC STUDIES,re.* ec.* stu.*,ECON
JOURNAL OF ECONOMIC LITERATURE,j.* ec.* lit.*,ECON
JOURNAL OF FINANCE,j.* financ$,ECON
AMERICAN ECONOMIC REVIEW,am.* ec.* rev.*,ECON
RAND JOURNAL OF ECONOMICS,rand j.* ec.*,ECON
JOURNAL OF FINANCIAL ECONOMICS,j financ.* ec.*,ECON
JOURNAL OF LABOR ECONOMICS,j lab.* ec.*,ECON
JOURNAL OF ECONOMIC THEORY,j econ.* th.*,ECON
JOURNAL OF ECONOMIC PERSPECTIVES,j.* ec.* persp.*,ECON
REVIEW OF ECONOMICS AND STATISTICS,rev.* ec.* sta.*,ECON
JOURNAL OF ACCOUNTING & ECONOMICS,j.* acc.* ec.*,ECON
JOURNAL OF LAW & ECONOMICS,j.* law.* (ec|econ)$,ECON
JOURNAL OF ECONOMIC GROWTH,j.* ec.* gr.*,ECON
INTERNATIONAL ECONOMIC REVIEW,int.* ec.* rev.*,ECON
REVIEW OF FINANCIAL STUDIES,rev.* fin.* st.*,ECON
JOURNAL OF MONETARY ECONOMICS,j.* mon.* ec.*,ECON
JOURNAL OF ECONOMETRICS,j econometr.*,ECON
JOURNAL OF BUSINESS & ECONOMIC STATISTICS,j bus.* ec.* st.*,ECON
ECONOMIC JOURNAL,^(ec|econ) j,ECON
JOURNAL OF HUMAN RESOURCES,j hum resour,ECON
JOURNAL OF INTERNATIONAL ECONOMICS,j int econ,ECON
