,PATTERN,RECODING2,TOTAL_OCCURRENCES
1,am econ rev,ECONOMICS,31334
2,econometrica,ECONOMICS,31252
3,j polit econ,ECONOMICS,24046
4,j financ,FINANCE,19717
5,q j econ,ECONOMICS,17364
6,rev econ stud,ECONOMICS,13494
7,j financ econ,FINANCE,12711
8,j econ theory,ECONOMICS,8574
9,econ j,ECONOMICS,7098
10,rev econ stat,ECONOMICS,5767
11,j monetary econ,ECONOMICS,5145
12,rev financ stud,FINANCE,4009
13,j econometrics,ECONOMICS,3762
14,int econ rev,ECONOMICS,3634
15,j public econ,ECONOMICS,3517
16,j bus,BUSINESS,3200
17,bell j econ,ECONOMICS,2978
18,j am stat assoc,STATISTICS,2899
19,j econ lit,ECONOMICS,2675
20,rand j econ,ECONOMICS,2589
21,economica,ECONOMICS,2580
22,j political ec,ECONOMICS,2506
23,nber,ECONOMICS,2483
24,j econ perspect,ECONOMICS,2363
25,j int econ,ECONOMICS,2346
26,nat bur ec res,ECONOMICS,2078
27,brookings papers ec,ECONOMICS,2031
28,eur econ rev,ECONOMICS,2011
29,am ec rev,ECONOMICS,2010
30,j financ quant anal,FINANCE,1928
31,j law econ,ECONOMICS,1861
32,game econ behav,ECONOMICS,1671
33,j money credit bank,ECONOMICS,1653
34,j labor econ,ECONOMICS,1648
35,j finance,FINANCE,1575
36,ec j,ECONOMICS,1525
37,econ lett,ECONOMICS,1458
38,j hum resour,BUSINESS,1454
39,q j ec,ECONOMICS,1260
40,manage sci,BUSINESS,1244
41,ann stat,STATISTICS,1153
42,ann math stat,STATISTICS,1119
43,biometrika,STATISTICS,1073
44,work pap,DK,1048
45,oxford econ pap,ECONOMICS,1045
46,am polit sci rev,POLSCIENCE,1033
47,econ inq,ECONOMICS,1032
48,j econ behav organ,ECONOMICS,993
49,j bus econ stat,STATISTICS,977
50,j dev econ,ECONOMICS,966
51,unpublished,DK,934
52,rev ec studies,ECONOMICS,921
53,j econ dyn control,ECONOMICS,920
54,public choice,ECONOMICS,877
55,j math econ,ECONOMICS,865
56,brookings pap eco ac,ECONOMICS,826
57,j econ hist,ECONOMICS,782
58,ind labor relat rev,ECONOMICS,781
59,communication,COMMUNICATION,765
60,j account econ,ECONOMICS,760
61,ny times,MEDIA,736
62,federal reserve bank,FINANCE,704
63,to be published,DK,698
64,natl tax j,LAW,695
65,am economic rev,ECONOMICS,688
66,nber macroecon ann,ECONOMICS,679
67,j ind econ,ECONOMICS,666
68,j bank financ,FINANCE,642
69,economet theor,ECONOMICS,641
70,thesis u chicago,DK,641
71,j urban econ,ECONOMICS,629
72,j law econ organ,ECONOMICS,626
73,science,GENERAL-SCIENTIFIC,623
74,economica-new ser,ECONOMICS,609
75,j accounting res,BUSINESS,605
76,can j econ,ECONOMICS,581
77,scand j econ,ECONOMICS,571
78,hdb econometrics,ECONOMICS,569
79,southern econ j,ECONOMICS,563
80,rev econ dynam,ECONOMICS,554
81,financial anal j,FINANCE,538
82,carnegie-rochester c,DK,507
83,j risk uncertainty,ECONOMICS,495
84,nber working paper,ECONOMICS,476
85,j econ growth,ECONOMICS,476
86,j appl econom,ECONOMICS,470
87,econ theor,ECONOMICS,470
88,j pers soc psychol,PSYCHOLOGY,469
89,j business,BUSINESS,452
90,value capital,FINANCE,447
91,financ manage,FINANCE,438
92,am j polit sci,POLSCIENCE,435
93,cepr,ECONOMICS,425
94,hdb labor ec,ECONOMICS,403
95,account rev,BUSINESS,401
96,economic j,ECONOMICS,400
97,oxford b econ stat,ECONOMICS,389
98,j legal stud,LAW,388
99,j int money financ,FINANCE,387
100,thesis harvard u,DK,382
101,natl bureau ec res w,ECONOMICS,369
102,math oper res,MATHEMATICS,368
103,international journal of game theory,ECONOMICS,367
104,principles ec,ECONOMICS,366
105,rev ec stat,ECONOMICS,366
106,int j ind organ,ECONOMICS,362
107,am j sociol,SOCIOLOGY,358
108,p natl acad sci usa,GENERAL-SCIENTIFIC,351
109,am sociol rev,SOCIOLOGY,334
110,j eur econ assoc,ECONOMICS,334
111,j portfolio manage,FINANCE,332
112,rev income wealth,FINANCE,331
113,wall street j,MEDIA,330
114,j farm econ,ECONOMICS,329
115,harvard bus rev,MEDIA,327
116,j econ manage strat,BUSINESS,325
117,am j agr econ,ECONOMICS,323
118,world bank econ rev,ECONOMICS,322
119,kyklos,ECONOMICS,320
120,j health econ,ECONOMICS,318
121,aer,ECONOMICS,316
122,j roy stat soc b,STATISTICS,315
123,econ dev cult change,ECONOMICS,315
124,j environ econ manag,ECONOMICS,314
125,j financial ec,ECONOMICS,308
126,int monet fund s pap,FINANCE,303
127,adv econometrics,ECONOMICS,303
128,mon labor rev,ECONOMICS,299
129,ann econ soc meas,ECONOMICS,297
130,oper res,BUSINESS,296
131,carn roch conf serie,DK,294
132,rev economic studies,ECONOMICS,293
133,int j game theory,ECONOMICS,289
134,general theory emplo,ECONOMICS,287
135,ann rep,DK,286
136,thesis mit,DK,284
137,nber macroeconomics,ECONOMICS,282
138,rev ec statistics,ECONOMICS,273
139,surv curr bus,STATISTICAL DATA,271
140,world dev,ECONOMICS,269
141,econ policy,ECONOMICS,268
142,principles political,ECONOMICS,267
143,j political economy,ECONOMICS,266
144,econ rec,ECONOMICS,264
145,demography,DEMOGRAPHY,263
146,psychol rev,PSYCHOLOGY,261
147,economist,MEDIA,251
148,theory consumption f,ECONOMICS,251
149,western econ j,ECONOMICS,248
150,reg sci urban econ,ECONOMICS,243
151,int ec rev,ECONOMICS,242
152,explor econ hist,ECONOMICS,242
153,j roy stat soc b met,STATISTICS,241
154,world bank,ECONOMICS,238
155,j financial quantita,FINANCE,234
156,j financ intermed,FINANCE,234
157,theory value,ECONOMICS,234
158,studies quantity the,DK,233
159,jpe,ECONOMICS,229
160,jama-j am med assoc,HEALTH,228
161,federal reserve,FINANCE,227
162,thesis stanford u,DK,227
163,iza,ECONOMICS,224
164,thesis u california,DK,218
165,theor decis,MULTIDISC,215
166,soc choice welfare,ECONOMICS,215
167,in press econometric,ECONOMICS,215
168,social choice indivi,ECONOMICS,213
169,hdb int ec,ECONOMICS,213
170,yale law j,LAW,210
171,oxford rev econ pol,ECONOMICS,210
172,new engl j med,HEALTH,209
173,rev econ statistics,ECONOMICS,209
174,adv ec econometrics,ECONOMICS,209
175,theory wages,ECONOMICS,208
176,stat abstr us,ECONOMICS,208
177,metroeconomica,ECONOMICS,208
178,am ec rev s,ECONOMICS,208
179,harvard law rev,LAW,207
180,economet rev,ECONOMICS,207
181,federal reserve b,FINANCE,205
182,theory interest,ECONOMICS,202
183,j european ec ass,ECONOMICS,202
184,j math psychol,PSYCHOLOGY,201
185,studies theory capit,FINANCE,201
186,adv ec theory,ECONOMICS,200
187,money interest price,ECONOMICS,200
188,disc pap,DK,199
189,j ec theory,ECONOMICS,197
190,so ec j,ECONOMICS,196
