UniqueID,OrgID,STATUS,NAME,UNIVERSITY,ORGANIZATION,RANK (USNews 2012),SCORE (USNews 2012),RANK
112,AEA1,Vice Presidents, janet currie, Columbia University,AEA,10,4.3,Top 6-10
121,AEA10,Vice Presidents, raquel fernandez, New York University,AEA,12,4.2,Top 11-20
122,AEA11,Elected Members, janice c. eberly, Northwestern University,AEA,8,4.7,Top 6-10
123,AEA12,Vice Presidents, christina h. paxson, Princeton University,AEA,1,5,Top 5
124,AEA13,President, christopher a. sims, Princeton University,AEA,1,5,Top 5
125,AEA14,President, orley ashenfelter, Princeton University,AEA,1,5,Top 5
126,AEA15,Elected Members, guido w. imbens, Stanford University,AEA,5,4.9,Top 5
127,AEA16,Elected Members, jonathan d. levin, Stanford University,AEA,5,4.9,Top 5
128,AEA17,Elected Members, monika piazzesi, Stanford University,AEA,5,4.9,Top 5
129,AEA18,Vice Presidents, paul r. milgrom, Stanford University,AEA,5,4.9,Top 5
130,AEA19,President, robert e. hall, Stanford University,AEA,5,4.9,Top 5
113,AEA2,Elected Members, michael woodford, Columbia University,AEA,10,4.3,Top 6-10
131,AEA20,Vice Presidents, timothy bresnahan, Stanford University,AEA,5,4.9,Top 5
132,AEA21,Vice Presidents, david card, UC Berkeley,AEA,1,4.9,Top 5
133,AEA22,Elected Members, valerie a. ramey, University of California - San Diego,AEA,14,4.9,Top 11-20
134,AEA23,Elected Members, dora l. costa, University of California at Los Angeles,AEA,14,4.9,Top 11-20
135,AEA24,Elected Members, rosa l. matzkin, University of California at Los Angeles,AEA,14,4.9,Top 11-20
136,AEA25,Elected Members, anil k. kashyap, University of Chicago,AEA,1,5,Top 5
137,AEA26,Vice Presidents, lars peter hansen, University of Chicago,AEA,1,5,Top 5
138,AEA27,Vice Presidents, richard h. thaler, University of Chicago,AEA,1,5,Top 5
139,AEA28,Elected Members, marianne bertrand, University of Chicago GSB,AEA,1,5,Top 5
140,AEA29,President, william d. nordhaus, Yale University,AEA,6,4.8,Top 6-10
114,AEA3,President, claudia goldin, Harvard University,AEA,1,5,Top 5
115,AEA4,Vice Presidents, n. gregory mankiw, Harvard University,AEA,1,5,Top 5
116,AEA5,Elected Members, susan c. athey, Harvard University,AEA,1,5,Top 5
117,AEA6,Elected Members, amy finkelstein, Massachusetts Institute of Technology,AEA,1,5,Top 5
118,AEA7,Elected Members, daron acemoglu, Massachusetts Institute of Technology,AEA,1,5,Top 5
119,AEA8,Elected Members,jonathan gruber, Massachusetts Institute of Technology,AEA,1,5,Top 5
120,AEA9,Vice Presidents, nancy l. rose, Massachusetts Institute of Technology,AEA,1,5,Top 5
45,APSA1,President,jane mansbridge,Harvard University,APSA,1,4.8,Top 5
54,APSA10,President,henry e. brady,University of California - Berkeley,APSA,6,4.5,Top 6-10
55,APSA11,Council,page fortna,Columbia University,APSA,7,4.4,Top 6-10
56,APSA12,Council,david a. lake,University of California - San Diego,APSA,7,4.4,Top 6-10
57,APSA13,Council,maria victoria murillo,Columbia University,APSA,7,4.4,Top 6-10
58,APSA14,President,john h. aldrich,Duke University,APSA,9,4.2,Top 6-10
59,APSA15,Vice President,melissa nobles,Massachusetts Institute of Technology ,APSA,9,4.2,Top 6-10
60,APSA16,Treasurer,kathleen thelen,Massachusetts Institute of Technology,APSA,9,4.2,Top 6-10
61,APSA17,Council,kathleen thelen,Massachusetts Institute of Technology,APSA,9,4.2,Top 6-10
62,APSA18,Council,christopher f. gelpi,Duke University,APSA,9,4.2,Top 6-10
63,APSA19,President,carole pateman,University of California Los Angeles,APSA,11,4.1,Top 11-20
46,APSA2,Vice President,anne-marie slaughter,Princeton University,APSA,1,4.8,Top 5
64,APSA20,Council,mark a. peterson,University of California Los Angeles,APSA,11,4.1,Top 11-20
65,APSA21,Council,brian f. crisp,Washington University,APSA,13,4,Top 11-20
66,APSA22,Council,evelyne huber,University of North Carolina,APSA,13,4,Top 11-20
67,APSA23,President,g. bingham powell jr.,University of Rochester                                                      ,APSA,15,3.9,Top 11-20
68,APSA24,Secretary,lisa l. martin,University of Wisconsin,APSA,15,3.9,Top 11-20
69,APSA25,Council,joanne miller,University of Minnesota;,APSA,17,3.8,Top 11-20
70,APSA26,Council,dara z. strolovitch,University of Minnesota,APSA,17,3.8,Top 11-20
71,APSA27,Vice President,michael a. jones-correa,Cornell University,APSA,20,3.7,Top 11-20
72,APSA28,Council,juan carlos huerta,Texas A&M University-Corpus Christi;,APSA,24,3.4,Top 21-50
73,APSA29,Council,kenneth j. meier,Texas A&M University,APSA,24,3.4,Top 21-50
47,APSA3,Council,stephen m. walt,Harvard University,APSA,1,4.8,Top 5
74,APSA30,Council,gretchen g. casper,Pennsylvania State University,APSA,28,3.2,Top 21-50
75,APSA31,Vice President,nancy j. hirschmann,University of Pennsylvania,APSA,28,3.2,Top 21-50
76,APSA32,Council,anne norton,University of Pennsylvania,APSA,28,3.2,Top 21-50
77,APSA33,Council,mark a. graber,University of Maryland,APSA,28,3.2,Top 21-50
78,APSA34,Council,joseph p. mccormick ii,Pennsylvania State University,APSA,28,3.2,Top 21-50
79,APSA35,Council,kathleen hall jamieson,University of Pennsylvania,APSA,28,3.2,Top 21-50
80,APSA36,Council,michael c. desch,University of Notre Dame,APSA,36,3,Top 21-50
81,APSA37,Council,rose mcdermott,Brown University,APSA,46,2.8,Top 21-50
82,APSA38,Council,kenneth d. wald,University of Florida,APSA,49,2.6,Top 21-50
83,APSA39,Council,todd c. shaw,University of South Carolina,APSA,51,2.5,Top 51-100
48,APSA4,Vice President,larry m. bartels,Princeton University,APSA,1,4.8,Top 5
84,APSA40,Council,ange-marie hancock,University of Southern California,APSA,62,2.4,Top 51-100
85,APSA41,Council,s. laurel weldon,Purdue University,APSA,62,2.4,Top 51-100
86,APSA42,Vice President,jane y. junn,University of Southern California,APSA,62,2.4,Top 51-100
87,APSA43,Vice President,luis ricardo fraga,University of Washington,APSA,72,2.3,Top 51-100
88,APSA44,Council,mala htun,University of New Mexico,APSA,78,2.2,Top 51-100
89,APSA45,Vice President,philip keefer,The World Bank,APSA,Not Ranked,NA,Not ranked
90,APSA46,Vice President,j. donald moon,Wesleyan University ,APSA,Not Ranked,NA,Not ranked
91,APSA47,Secretary,k.c. morrison,Mississippi State University ,APSA,Not Ranked,NA,Not ranked
92,APSA48,Council,junko kato,University of Tokyo,APSA,Not Ranked,NA,Not ranked
93,APSA49,Secretary,john c. green,University of Akron,APSA,Not Ranked,NA,Not ranked
49,APSA5,Vice President,nancy l. rosenblum,Harvard University,APSA,1,4.8,Top 5
94,APSA50,Council,paul gronke,Reed College,APSA,Not Ranked,NA,Not ranked
95,APSA51,Council,angelia r. wilson,University of Manchester,APSA,Not Ranked,NA,Not ranked
96,APSA52,Vice President,morris fiorina,Stamford University,APSA,Not Ranked,NA,Not ranked
97,APSA53,Vice President,kerstin hamann,University of Central Florida,APSA,Not Ranked,,Not ranked
98,APSA54,Vice President,niraja gopal jayal,Jawaharlal Nehru University,APSA,Not Ranked,,Not ranked
99,APSA55,Treasurer,jonathan benjamin-alvarado,University of Nebraska Omaha,APSA,Not Ranked,NA,Not ranked
100,APSA56,Council,jeffrey berry,Tufts University,APSA,Not Ranked,NA,Not ranked
101,APSA57,Council,simon hix,London School of Economics,APSA,Not Ranked,,Not ranked
102,APSA58,Council,laura katz olson,Lehigh University,APSA,Not Ranked,NA,Not ranked
103,APSA59,Secretary,susan peterson,College of William & Mary,APSA,Not Ranked,NA,Not ranked
50,APSA6,Vice President,atul kohli,Princeton University,APSA,1,4.8,Top 5
104,APSA60,Council,cristina beltran,Haverford College,APSA,Not Ranked,NA,Not ranked
105,APSA61,Council,yun-han chu,Academia Sinica/National Taiwan University,APSA,Not Ranked,NA,Not ranked
106,APSA62,Council,thomas e. mann,Brookings Institution,APSA,Not Ranked,NA,Not ranked
107,APSA63,Council,julie novkov,State University of New York,APSA,Not Ranked,NA,Not ranked
108,APSA64,Secretary,roxanne l. euben,Wellesley College,APSA,Not Ranked,NA,Not ranked
109,APSA65,Council,jodi dean,Hobart and William Smith Colleges,APSA,Not Ranked,NA,Not ranked
110,APSA66,Council,sherri l. wallace,University of Louisville ,APSA,Not Ranked,NA,Not ranked
111,APSA67,Council,franke wilmer,Montana State University,APSA,Not Ranked,NA,Not ranked
51,APSA7,Vice President,hanes walton,University of Michigan,APSA,4,4.7,Top 5
52,APSA8,Treasurer,arthur lupia,University of Michigan,APSA,4,4.7,Top 5
53,APSA9,Council,taeku lee,University of California - Berkeley,APSA,6,4.5,Top 6-10
,ASA1,Members at-large, cecilia menjivar, Arizona State University,ASA,Not ranked,NA,Not ranked
9,ASA10,Members at-large, marc schneiberg, Reed College,ASA,Not ranked,NA,Not ranked
10,ASA11,Secretary, catherine berheide, Skidmore College,ASA,Not ranked,NA,Not ranked
11,ASA12,Members at-large, robin wagner-pacifici, Swarthmore College,ASA,Not ranked,NA,Not ranked
12,ASA13,Members at-large, jane sell, Texas A&M University,ASA,Not ranked,NA,Not ranked
13,ASA14,Members at-large, dina g. okamoto, University of California - Davis,ASA,Not ranked,NA,Not ranked
14,ASA15,Vice-President, david snow, University of California - Irvine,ASA,Not ranked,NA,Not ranked
15,ASA16,Members at-large, jennifer lee, University of California - Irvine,ASA,Not ranked,NA,Not ranked
16,ASA17,Members at-large, sarah fenstermaker, University of California - Santa Barbara,ASA,Not ranked,NA,Not ranked
17,ASA18,Members at-large, tanya maria golash-boza, University of California-Merced,ASA,Not ranked,NA,Not ranked
18,ASA19,Secretary, donald tomaskovic-devey, University of Massachusetts - Amherst,ASA,Not ranked,NA,Not ranked
1,ASA2,Secretary, mary romero, Arizona State University,ASA,Not ranked,NA,Not ranked
19,ASA20,Members at-large, joya misra, University of Massachusetts - Amherst,ASA,Not ranked,NA,Not ranked
20,ASA21,Members at-large, pierrette hondagneu-sotelo, University of Southern California,ASA,Not ranked,NA,Not ranked
21,ASA22,Members at-large, rosanna hertz, Wellesley College,ASA,Not ranked,NA,Not ranked
22,ASA23,President, evelyn nakano glenn,University of California - Berkeley,ASA,1,4.8,Top 5
23,ASA24,Members at-large, leslie mccall, Northwestern University,ASA,9,4.3,Top 6-10
24,ASA25,Members at-large, monica prasad, Northwestern University,ASA,9,4.3,Top 6-10
25,ASA26,Members at-large, laurel smith-doerr, Boston University,ASA,57,3.7,Top 51-100
26,ASA27,Members at-large, clara rodriguez, Fordham University,ASA,90,2,Top 51-100
27,ASA28,Members at-large, adia m. harvey wingfield, Georgia State University,ASA,77,2.2,Top 51-100
28,ASA29,Members at-large, marjorie devault, Syracuse University,ASA,66,2.5,Top 51-100
2,ASA3,Members at-large, peter kivisto, Augustana College,ASA,Not ranked,NA,Not ranked
29,ASA30,Vice-President, jennifer glass, University of Iowa,ASA,72,2.4,Top 51-100
30,ASA31,Members at-large, david brunsma, University of Missouri - Columbia,ASA,77,2.2,Top 51-100
31,ASA32,Members at-large, stephanie a. bohon, University of Tennessee,ASA,90,2,Top 51-100
32,ASA33,Members at-large, robin stryker, University of Minnesota,ASA,20,3.8,Top 11-20
33,ASA34,President, annette lareau, University of Pennsylvania,ASA,11,4.2,Top 11-20
34,ASA35,President, randall collins, University of Pennsylvania,ASA,11,4.2,Top 11-20
35,ASA36,Vice-President, edward telles, Princeton University,ASA,3,4.6,Top 5
36,ASA37,President, cecilia ridgeway, Stanford University,ASA,5,4.5,Top 5
37,ASA38,Members at-large, sarah soule, Stanford University,ASA,5,4.5,Top 5
38,ASA39,Members at-large, sandra smith, University of California - Berkeley,ASA,1,4.8,Top 5
3,ASA4,Members at-large, debra minkoff, Barnard College ,ASA,Not ranked,NA,Not ranked
39,ASA40,Members at-large, mario luis small, University of Chicago,ASA,5,4.5,Top 5
40,ASA41,Members at-large, omar m. mcroberts, University of Chicago,ASA,5,4.5,Top 5
41,ASA42,Members at-large, karyn lacy, University of Michigan,ASA,3,4.6,Top 5
42,ASA43,President, erik olin wright, University of Wisconsin - Madison,ASA,2,4.7,Top 5
43,ASA44,Vice-President, john logan, Brown University,ASA,25,3.6,Top 21-50
44,ASA45,Vice-President, brian powell, Indiana University,ASA,11,4.2,Top 11-20
4,ASA5,Members at-large, kelly a. joyce, Drexel University,ASA,Not ranked,NA,Not ranked
5,ASA6,Members at-large, amanda lewis, Emory University,ASA,Not ranked,NA,Not ranked
6,ASA7,Members at-large, tina fetner, McMaster University,ASA,Not ranked,NA,Not ranked
7,ASA8,Members at-large, margaret hunter, Mills College,ASA,Not ranked,NA,Not ranked
8,ASA9,Members at-large, patricia e. white, National Science Foundation,ASA,Not ranked,NA,Not ranked
